pc cpu err
1500 1.731628 0.560673
3500 2.832013 0.858815
7500 6.727700 1.884308
17000 7.779360 1.571832
37000 16.726198 4.446586
85000 31.178642 3.614614
190000 43.579814 2.907303
420000 101.664416 4.049518
950000 201.469643 4.497079
2200000 469.622669 8.934060
5000000 1044.494406 18.392669
