Particle Count,CPU Time [ms],CPU Time Error [ms]
1500,0.15573391013964782,0.013809485833426187
3500,0.26523982999392837,0.03789057276606006
7500,0.4630768063145113,0.05075159283033955
17000,0.9137636612021859,0.03312358084351201
37000,2.3057490892531876,0.4547090082384813
85000,4.831527018822102,1.3030063121963902
190000,9.39342744383728,0.17795553472069686
420000,25.249408014571944,5.11586144628261
950000,56.81804796599879,15.203623361183725
2200000,110.11393063145113,1.4367094487896845
5000000,322.796717516697,41.13075138648071
