Particle Count,CPU Time [ms],CPU Time Error [ms]
1500,0.16249005568814637,0.006851064979128727
3500,0.2581543357199682,0.004781549435231213
7500,0.45664280031821797,0.004108068556025608
17000,0.930986475735879,0.0025137600880459268
37000,1.9252187748607794,0.0034566107962927875
85000,4.32975338106603,0.024978805267248518
190000,9.560461416070009,0.020580985563263442
420000,21.17680986475736,0.10328579451505646
950000,47.85322195704057,0.2468286302169844
2200000,109.95286396181386,0.5337084077434704
5000000,252.15035799522673,0.17093468765117956
