pc wc err
1500 8.331865 0.013177
3500 8.335544 0.022617
7500 8.332679 0.006746
17000 8.335781 0.024437
37000 8.333747 0.012733
85000 8.349493 0.051305
190000 8.340161 0.069466
420000 14.350363 1.999848
950000 38.244830 0.744149
2200000 91.464289 0.417629
5000000 209.821246 1.944762
