Particle Count,Wall Clock Time [ms],Wall Clock Time Error [ms]
1500,3.1889268366727386,0.25360880236114863
3500,3.1483986035215543,0.2051191278540704
7500,3.1087204007285973,0.22027117077285477
17000,3.3388091985428052,0.10412786104363055
37000,4.36249241044323,0.6707052543448515
85000,6.496258348512446,1.4424774193678824
190000,10.794421675774135,0.25625706843379803
420000,26.874157559198544,5.294848338329217
950000,58.81129705525198,15.542581542793465
2200000,112.68609213721918,1.4678092631343505
5000000,328.34157938676384,41.62624257557074
